subject subject_label   subject_taxon   subject_taxon_label relation    relation_label  object  object_label    evidence    evidence_label  source  is_defined_by   qualifier
NCBIGene:4313   MMP2    NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:18178469   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:9968   MED12   NCBITaxon:9606  Homo sapiens            OMIM:309520 X-linked mental retardation with marfanoid habitus syndrome ECO:0000220 sequencing assay evidence       http://data.monarchinitiative.org/ttl/omim.ttl|http://data.monarchinitiative.org/ttl/kegg.ttl|http://data.monarchinitiative.org/ttl/ctd.ttl inferred
NCBIGene:6497   SKI NCBITaxon:9606  Homo sapiens            OMIM:182212 Shprintzen-Goldberg Craniosynostosis Syndrome   ECO:0000220|ECO:0000033 sequencing assay evidence|traceable author statement    PMID:23023332   http://data.monarchinitiative.org/ttl/omim.ttl|http://data.monarchinitiative.org/ttl/kegg.ttl|http://data.monarchinitiative.org/ttl/ctd.ttl inferred
NCBIGene:7048   TGFBR2  NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:15235604   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:6647   SOD1    NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:25101153   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:2200   FBN1    NCBITaxon:9606  Homo sapiens            OMIM:182212 Shprintzen-Goldberg Craniosynostosis Syndrome               http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:100129518  LOC100129518    NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:25101153   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:4318   MMP9    NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:18178469   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:847    CAT NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:25101153   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:7048   TGFBR2  NCBITaxon:9606  Homo sapiens            OMIM:610168 Loeys-Dietz Syndrome 2  ECO:0000220|ECO:0000322 sequencing assay evidence|imported manually asserted information used in automatic assertion        http://data.monarchinitiative.org/ttl/orphanet.ttl|http://data.monarchinitiative.org/ttl/omim.ttl|http://data.monarchinitiative.org/ttl/kegg.ttl|http://data.monarchinitiative.org/ttl/ctd.ttl  inferred
NCBIGene:2200   FBN1    NCBITaxon:9606  Homo sapiens            OMIM:154700 Marfan Syndrome ECO:0000220|ECO:0000322|ECO:0000033 sequencing assay evidence|imported manually asserted information used in automatic assertion|traceable author statement PMID:18178469|PMID:18212506|PMID:22772368|PMID:17657824|PMID:19430350|PMID:15235604|PMID:21909107   http://data.monarchinitiative.org/ttl/orphanet.ttl|http://data.monarchinitiative.org/ttl/omim.ttl|http://data.monarchinitiative.org/ttl/coriell.ttl|http://data.monarchinitiative.org/ttl/kegg.ttl|http://data.monarchinitiative.org/ttl/ctd.ttl    inferred
NCBIGene:4843   NOS2    NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:25101153   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
NCBIGene:3915   LAMC1   NCBITaxon:9606  Homo sapiens            MESH:D008382    Marfan Syndrome ECO:0000033 traceable author statement  PMID:25101153   http://data.monarchinitiative.org/ttl/ctd.ttl   inferred
